product_id,source,source_product_id,name,description,composition,materials,care,product_url,category_urls,department,base_price,currency,colors,sizes,source_last_seen_at,status,evidence_file,classification,completeness
zara-us:01957102,zara_us_public,01957102,100% LINEN REGULAR FIT SHIRT,Regular fit shirt made of linen fabric. Button-down collar and long sleeves with buttoned cuffs. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% linen""}]",100% linen,,https://www.zara.com/us/en/100-linen-regular-fit-shirt-p01957102.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,69.90,USD,"[""Blue / Green"", ""Caramel"", ""Dark khaki"", ""Dark navy"", ""Faded sky blue"", ""Light beige"", ""White""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:47.811Z,observed,data\raw\zara\01957102.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:02285098,zara_us_public,02285098,ZW COLLECTION DRAPED SASH DRESS,ZARA WOMAN COLLECTION. Round neck dress with a sleeveless design. Features a matching sash detail and an A-line hem. Button fastening at the back.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% polyester""}]",100% polyester,,https://www.zara.com/us/en/zw-collection-draped-sash-dress-p02285098.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,119.00,USD,"[""Electric blue""]","[""L"", ""M"", ""S"", ""XL"", ""XS""]",2026-09-06T04:29:09.033Z,observed,data\raw\zara\02285098.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:02692792,zara_us_public,02692792,RELAXED FIT SHIRT WITH MATCHING TIE,Relaxed-fit shirt crafted from cotton poplin. Lapel collar with a matching fabric tie detail. Long sleeves finished with buttoned cuffs. Patch chest pockets with flaps. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""97% cotton, 3% elastane""}]",cotton/elastane,,https://www.zara.com/us/en/relaxed-fit-tie-detail-shirt-p02692792.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,79.90,USD,"[""Khaki""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:25:05.729Z,observed,data\raw\zara\02692792.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:02933303,zara_us_public,02933303,FLUID STRIPED SHIRT,Relaxed fit shirt made from fluid viscose fabric. Lapel collar and long sleeves finished with buttoned cuffs. Patch pocket on the chest. Front snap-button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""59% polyester, 41% viscose""}]",polyester/viscose,,https://www.zara.com/us/en/fluid-striped-shirt-p02933303.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,79.90,USD,"[""Ecru / Green""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:25:07.005Z,observed,data\raw\zara\02933303.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:03067214,zara_us_public,03067214,PLEATED MINI DRESS WITH SHOULDER PADS,"Mini dress with a high neckline, long sleeves and shoulder pads. Pleated detail. Back closure with a concealed seam zipper.","[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""96% polyester, 4% elastane""}, {""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""LINING"", ""value"": ""100% polyester""}]",polyester/elastane,,https://www.zara.com/us/en/pleated-mini-dress-with-shoulder-pads-p03067214.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,59.90,USD,"[""Black""]","[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]",2026-09-06T04:27:19.744Z,observed,data\raw\zara\03067214.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:03152205,zara_us_public,03152205,RUCHED HALTER DRESS,Midi dress with a wrapped-effect halter neckline. Asymmetric back cutout. Ruching and draping detail at the front. Tonal interior lining. Side hidden in-seam zip closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""96% polyester, 4% elastane""}, {""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""LINING"", ""value"": ""100% polyester""}]",polyester/elastane,,https://www.zara.com/us/en/ruched-halter-dress-p03152205.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,69.90,USD,"[""Black"", ""Blue / Gray""]","[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]",2026-09-06T04:27:17.681Z,observed,data\raw\zara\03152205.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:03277401,zara_us_public,03277401,REGULAR FIT TEXTURED SHIRT,Regular fit shirt made from a cotton blend stretch fabric. Lapel collar and short sleeves. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""65% cotton, 35% polyester""}]",cotton/polyester,,https://www.zara.com/us/en/regular-fit-textured-shirt-p03277401.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,59.90,USD,"[""Ecru"", ""Green"", ""Navy / White"", ""White / Sky blue""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:35.060Z,observed,data\raw\zara\03277401.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:03798623,zara_us_public,03798623,LYOCELL-COTTON REGULAR FIT SHIRT,Regular fit shirt crafted from a lyocell and cotton blend fabric. Lapel collar and short sleeves. Patch pockets with flaps on the chest. Front button fastening.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""60% lyocell, 40% cotton""}]",lyocell/cotton,,https://www.zara.com/us/en/lyocell-cotton-regular-fit-shirt-p03798623.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,59.90,USD,"[""taupe brown""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:53.042Z,observed,data\raw\zara\03798623.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:03897173,zara_us_public,03897173,SATIN MIDI DRESS,Dress with a draped neckline and sleeveless design. Button closure at the back.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% polyester""}]",100% polyester,,https://www.zara.com/us/en/satin-midi-dress-p03897173.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,79.90,USD,"[""Brown""]","[""L"", ""M"", ""S"", ""XL"", ""XS""]",2026-09-06T04:27:51.335Z,observed,data\raw\zara\03897173.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04087516,zara_us_public,04087516,WASHED PIQUÉ REGULAR FIT SHIRT,Regular fit shirt made from cotton piqué. Features a spread collar and long sleeves with buttoned cuffs. Washed effect. Button-up front closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% cotton""}]",100% cotton,,https://www.zara.com/us/en/washed-pique-regular-fit-shirt-p04087516.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,59.90,USD,"[""Anthracite grey"", ""Light khaki""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:54.248Z,observed,data\raw\zara\04087516.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04333476,zara_us_public,04333476,TEXTURED WEAVE SHIRT,"Relaxed fit shirt made of a cotton blend fabric. Features a bowling collar, short sleeves, and side vents at the hem. Front button closure.","[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""84% cotton, 16% polyester""}]",cotton/polyester,,https://www.zara.com/us/en/textured-weave-shirt-p04333476.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,59.90,USD,"[""Black"", ""Ecru"", ""Ecru / Black"", ""Ecru / Blue""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:24:41.950Z,observed,data\raw\zara\04333476.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04408147,zara_us_public,04408147,SLIM FIT SHIRT,Slim fit shirt made from a fabric that minimizes the need for ironing after washing. Hidden-button point collar. Long sleeves finished with buttoned cuffs. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""95% polyester, 5% elastane""}]",polyester/elastane,,https://www.zara.com/us/en/slim-fit-shirt-p04408147.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,59.90,USD,"[""Black"", ""Light sky blue"", ""Sand"", ""White""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:24:35.960Z,observed,data\raw\zara\04408147.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04493144,zara_us_public,04493144,REGULAR FIT SHIRT,"REGULAR FIT - TWO-WAY STRETCH - SPREAD COLLAR. Regular fit shirt made with an easy-care, non-iron fabric. Features a spread collar, long sleeves with buttoned cuffs, and a front button closure.","[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""63% cotton, 37% polyester""}]",cotton/polyester,,https://www.zara.com/us/en/regular-fit-shirt-p04493144.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,69.90,USD,"[""Black"", ""Blue / White"", ""Green / Ecru"", ""Navy blue"", ""Sky blue"", ""White""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:36.497Z,observed,data\raw\zara\04493144.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04772211,zara_us_public,04772211,VOLUMINOUS SLEEVE MINI DRESS,Mini dress with a mock neck and voluminous long sleeves. Features pronounced seam details and front pleats. Tonal lining. Back zip closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""67% polyester, 29% viscose, 4% elastane""}, {""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""LINING"", ""value"": ""100% polyester""}]",polyester/viscose/elastane,,https://www.zara.com/us/en/voluminous-sleeve-mini-dress-p04772211.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,79.90,USD,"[""Dark brown""]","[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]",2026-09-06T04:27:23.373Z,observed,data\raw\zara\04772211.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04772225,zara_us_public,04772225,SHOULDER PAD MIDI DRESS,Midi dress with a deep V-neck and long sleeves with shoulder pads. Shirred detail at the bust. Back tie closure with a concealed zipper in the seam.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""95% polyester, 5% elastane""}, {""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""LINING"", ""value"": ""100% polyester""}]",polyester/elastane,,https://www.zara.com/us/en/shoulder-pad-midi-dress-p04772225.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,69.90,USD,"[""Light khaki""]","[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]",2026-09-06T04:27:21.221Z,observed,data\raw\zara\04772225.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04772386,zara_us_public,04772386,SATIN HALTER MIDI DRESS,Dress made of satin fabric. Halter neck with a deep V-neckline. Open back. Tie closure at the neck.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% polyester""}]",100% polyester,,https://www.zara.com/us/en/satin-midi-halter-dress-p04772386.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,59.90,USD,"[""Black"", ""Lilac""]","[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]",2026-09-06T04:28:46.014Z,observed,data\raw\zara\04772386.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04786307,zara_us_public,04786307,ZW COLLECTION HALTER SATIN MIDI DRESS,"ZARA WOMAN COLLECTION

Midi dress made of satin fabric. Halter neck with fluid neckline and off-the-shoulder design. Back fastening with hidden buttons.","[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% polyester""}]",100% polyester,,https://www.zara.com/us/en/zw-collection-halter-satin-midi-dress-p04786307.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,79.90,USD,"[""Ecru"", ""Eggplant""]","[""L"", ""M"", ""S"", ""XL"", ""XS""]",2026-09-06T04:28:03.586Z,observed,data\raw\zara\04786307.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04786732,zara_us_public,04786732,LONG GEORGETTE CAPE DRESS,Long dress with a V-neckline and thin straps. Features a matching cape-style fabric overlay at the back. Hidden side zipper and metal hook closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% polyester""}]",100% polyester,,https://www.zara.com/us/en/long-cape-detail-georgette-dress-p04786732.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,149.00,USD,"[""Red""]","[""L"", ""M"", ""S"", ""XL"", ""XS""]",2026-09-06T04:27:57.340Z,observed,data\raw\zara\04786732.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04795210,zara_us_public,04795210,RELAXED FIT FLUID SHIRT,"Relaxed-fit shirt crafted from a fluid lyocell fabric. Features a bowling collar, short sides, and a hem with side vents. Front button closure.","[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% lyocell""}]",100% lyocell,,https://www.zara.com/us/en/relaxed-fit-fluid-shirt-p04795210.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,69.90,USD,"[""Beige"", ""Black"", ""Gray""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:24:32.209Z,observed,data\raw\zara\04795210.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04813814,zara_us_public,04813814,FLOCKED MINI DRESS WITH SLIT,Dress made from flocked fabric. High neck and elbow-length sleeves. Side slit detail with tonal lace inserts. Asymmetrical hem. Back closure with slit and concealed buttons.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": """"}]",,,https://www.zara.com/us/en/flocked-mini-dress-with-slit-p04813814.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,69.90,USD,"[""Dark brown""]","[""L"", ""M"", ""S""]",2026-09-06T04:27:49.590Z,observed,data\raw\zara\04813814.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:04813819,zara_us_public,04813819,MIDI SEAM-DETAIL DRESS,Dress made from stretch fabric. Sweetheart neckline and adjustable thin straps. Featuring prominent seam detailing.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""65% polyamide, 35% elastane""}, {""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""LINING"", ""value"": ""100% polyester""}]",polyamide/elastane,,https://www.zara.com/us/en/seam-detail-midi-dress-p04813819.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,79.90,USD,"[""Black""]","[""L"", ""M"", ""S""]",2026-09-06T04:27:44.040Z,observed,data\raw\zara\04813819.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:05039406,zara_us_public,05039406,ANIMAL PRINT TULLE DRESS,Long dress with V-neckline and adjustable spaghetti straps. Tonal matching interior lining. Godet detail.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""93% polyester, 7% elastane""}, {""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""LINING"", ""value"": ""100% polyester""}]",polyester/elastane,,https://www.zara.com/us/en/animal-print-tulle-dress-p05039406.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,79.90,USD,"[""Leopard""]","[""L"", ""M"", ""S""]",2026-09-06T04:28:44.423Z,observed,data\raw\zara\05039406.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:05063839,zara_us_public,05063839,LACE MIDI DRESS,Midi dress with a round neckline and spaghetti straps. Featuring sparkling appliqué detailing.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""92% polyamide, 8% elastane""}]",polyamide/elastane,,https://www.zara.com/us/en/lace-midi-dress-p05063839.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,79.90,USD,"[""Black""]","[""L"", ""M"", ""S""]",2026-09-06T04:27:41.098Z,observed,data\raw\zara\05063839.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:05070904,zara_us_public,05070904,100% LINEN RELAXED FIT SHIRT,Relaxed fit shirt made of linen fabric. Bowling collar and short sleeves. Side vents at hem. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% linen""}]",100% linen,,https://www.zara.com/us/en/100-linen-relaxed-fit-shirt-p05070904.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,69.90,USD,"[""Black"", ""Brown / Taupe"", ""Burgundy"", ""Light beige"", ""Light gray"", ""White""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:49.957Z,observed,data\raw\zara\05070904.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:05320222,zara_us_public,05320222,RELAXED FIT FAUX LEATHER OVERSHIRT,Relaxed fit overshirt made from faux leather fabric. Lapel collar and short sleeves. Patch pocket at chest. Hem with side vents. Front zip closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": """"}]",,,https://www.zara.com/us/en/relaxed-fit-faux-leather-overshirt-p05320222.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,59.90,USD,"[""Black""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:24:38.694Z,observed,data\raw\zara\05320222.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:05344204,zara_us_public,05344204,ZW COLLECTION LACE DETAIL MAXI DRESS,"ZARA WOMAN COLLECTION

Maxi dress made from 100% viscose. Round neckline and sleeveless design. Matching lace appliqué detail. Back opening with covered button closure.","[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": """"}]",,,https://www.zara.com/us/en/zw-collection-lace-detail-maxi-dress-p05344204.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,169.00,USD,"[""Black""]","[""L"", ""M"", ""S"", ""XL"", ""XS""]",2026-09-06T04:28:02.219Z,observed,data\raw\zara\05344204.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
